id,Title,tags
2328,Planet Terror,"two doctor find their graveyard shift inund with townspeopl ravag by sores. among the wound is cherry, a dancer whose leg wa rip from her body. as the invalid quickli becom enrag aggressors, cherri and her ex-boyfriend wray lead a team of accident warrior into the night. horror action thriller"
2329,Shoot 'Em Up,"a man name mr. smith deliv a woman' babi dure a shootout, and is then call upon to protect the newborn from the armi of gunmen. action thriller comedi crime"
2330,Jack and the Cuckoo-Clock Heart,"in scotland 1874, jack is born on the coldest day ever. becaus of the extrem cold, hi heart stop beating. the respons midwif in edinburgh find a way to save him by replac hi heart with a clock. so he live and remain under the midwife' protect care. but he must not get angri or excit becaus that endang hi life by caus hi clock to stop working. wors than that, when he grow up, he ha to face the fact he cannot fall in love becaus that too could stop hi delic heart. anim romanc adventur drama fantasi"
2331,Justice League vs. the Fatal Five,"the justic leagu face a power new threat â€” the fatal five! superman, batman and wonder woman seek answer as the time-travel trio of mano, persuad and tharok terror metropoli in search of bud green lantern, jessica cruz. with her unwil help, they aim to free remain fatal five member emerald empress and validu to carri out their sinist plan. but the justic leagu ha also discov an alli from anoth time in the peculiar star boy â€” brim with volatil power, could he be the key to thwart the fatal five? an epic battl against ultim evil awaits! anim action sciencefict"
2332,Reasonable Doubt,"when up-and-com district attorney mitch brockden commit a fatal hit-and-run, he feel compel to throw the case against the accus crimin who wa found with the bodi and blame for the crime. follow the trial, mitch' worst fear come true when he realiz that he acquit a guilti man, and he soon find himself on the hunt for the killer befor more victim pile up. crime thriller"
2333,Universal Soldier: Day of Reckoning,"after hi wife and daughter are murder in a home invasion, a widow name john now find himself up against an armi of univers soldier in relentless pursuit, led by a mysteri leader who promis to set unisol free from their conditioning. action sciencefict thriller"
2334,Taya,"sixto explor the danger world of onlin end for hi thesi and get involv with winona, niev and nanette. thriller"
2335,Identity,"complet stranger strand at a remot desert motel dure a rage storm soon find themselv the target of a derang murderer. as their number thin out, the travel begin to turn on each other, as each tri to figur out who the killer is. mysteri thriller"
2336,Into the Woods,"in a wood fill with magic and fairi tale characters, a baker and hi wife set out to end the curs put on them by their neighbor, a spite witch. fantasi comedi"
2337,The Baytown Outlaws,"when three redneck brother agre to help a woman save her son from an abus father, they becom target on the run from an odd cast of characters. action comedi crime"
2338,Jackass Number Two,"jackass number two is a compil of variou stunts, prank and skits, and essenti ha no plot. chri pontius, johnni knoxville, steve-o, bam margera, and the whole crew return to the screen to rais the stake higher than ever before. action comedi documentari"
2339,47 Meters Down: Uncaged,"four teenag girl go on a dive adventur to explor a submerg mayan city. onc inside, their rush of excit turn into a jolt of terror as they discov the sunken ruin are a hunt ground for deadli great white sharks. with their air suppli steadili dwindling, the friend must navig the underwat labyrinth of claustrophob cave and eeri tunnel in search of a way out of their wateri hell. horror drama adventur"
2340,Krampus,"when hi dysfunct famili clash over the holidays, young max is disillus and turn hi back on christmas. littl doe he know, thi lack of festiv spirit ha unleash the wrath of krampus: a demon forc of ancient evil intent on punish non-believers. horror comedi fantasi"
2341,Hostiles,a legendari nativ american-h armi captain near retir in 1892 is given one last assignment: to escort a cheyenn chief and hi famili through danger territori back to hi montana reservation. western drama histori
2342,Honey 3: Dare to Dance,"while attend colleg in cape town, melea martin feel constrain by the school' strict policies, and decid to set out on her own. search for a way to use her talent as a dancer and inspir the commun around her, melea rent a fail theater in order to put on a hip-hop romeo and juliet performance. but much like the capulet and montagues, conflict between cast member threaten to bring the whole perform to a halt... music drama famili romanc"
2343,I Know What You Did Last Summer,"as they celebr their high school graduation, four friend are involv in a hit-and-run accid when their car hit and appar kill a pedestrian on an isol roadway. they dispos of the bodi and vow to keep the incid a secret, a year later somebodi start send them letter bear the warn i know what you did last summer""""""""."""""""" horror thriller mysteri"
2344,Crank,"chev chelios, a hit man want to go straight, let hi latest target slip away. then he awak the next morn to a phone call that inform him he ha been poison and ha onli an hour to live unless he keep adrenalin cours through hi bodi while he search for an antidote. action thriller crime"
2345,Epic Movie,"when edward, peter, luci and susan each follow their own path, they end up find themselv at willy' chocol factory. walk through a wardrobe, they discov the world of gnarnia, which is rule by the white bitch. meet up with charact such as harri potter and captain jack swallows, the newli reunit famili must team up with aslo, a wise-but-horni lion to stop the white bitch' army. comedi action adventur"
2346,Citizen Kane,"newspap magnate, charl foster kane is taken from hi mother as a boy and made the ward of a rich industrialist. as a result, everi well-meaning, tyrann or self-destruct move he make for the rest of hi life appear in some way to be a reaction to that deepli wound event. mysteri drama"
2347,Final Fantasy VII: Advent Children,"two year have pass sinc the final battl with sephiroth. though midgar, citi of mako, citi of prosperity, ha been reduc to ruins, it peopl slowli but steadili walk the road to reconstruction. however, a mysteri ill call geostigma torment them. with no cure in sight, it bring death to the afflicted, one after another, rob the peopl of their fledgl hope. anim action adventur fantasi sciencefict"
